key scientificName decimalLatitude decimalLongitude issues
2850982824 Polyommatus_coridon_(Poda_1761) 51.890995 -0.572463 cdround
2850993950 Polyommatus_coridon_(Poda_1761) 50.677659 -1.153723 cdround
2851005843 Polyommatus_coridon_(Poda_1761) 50.81006 0.188044 cdround
2868190438 Polyommatus_coridon_(Poda_1761) 50.971784 -1.941249 cdround
2873880867 Polyommatus_coridon_(Poda_1761) 51.093396 -2.710716 cdround
2873893722 Polyommatus_coridon_(Poda_1761) 51.093496 -2.710748 cdround
2909413162 Polyommatus_coridon_(Poda_1761) 50.801201 0.20532 fpwktinv
2909439269 Polyommatus_coridon_(Poda_1761) 50.792747 0.176543 fpwktinv
2909654387 Polyommatus_coridon_(Poda_1761) 50.801201 0.20532 fpwktinv
2909676131 Polyommatus_coridon_(Poda_1761) 50.974775 -2.179411 fpwktinv
2909747232 Polyommatus_coridon_(Poda_1761) 51.540955 -1.676964 fpwktinv
2909748423 Polyommatus_coridon_(Poda_1761) 50.792747 0.176543 fpwktinv
2909773674 Polyommatus_coridon_(Poda_1761) 51.540955 -1.676964 fpwktinv
2909829947 Polyommatus_coridon_(Poda_1761) 50.792747 0.176543 fpwktinv
2909847198 Polyommatus_coridon_(Poda_1761) 51.540955 -1.676964 fpwktinv
2909880935 Polyommatus_coridon_(Poda_1761) 50.792747 0.176543 fpwktinv
2909884182 Polyommatus_coridon_(Poda_1761) 50.792747 0.176543 fpwktinv
2909957520 Polyommatus_coridon_(Poda_1761) 50.792747 0.176543 fpwktinv
2910228728 Polyommatus_coridon_(Poda_1761) 52.037597 -0.040536 fpwktinv
2910262385 Polyommatus_coridon_(Poda_1761) 51.360521 0.562481 fpwktinv
2910285870 Polyommatus_coridon_(Poda_1761) 51.226853 -0.562118 fpwktinv
2910299990 Polyommatus_coridon_(Poda_1761) 50.551459 -2.43187 fpwktinv
2910305197 Polyommatus_coridon_(Poda_1761) 52.046339 -0.02557 fpwktinv
2910307061 Polyommatus_coridon_(Poda_1761) 51.961406 -0.349522 fpwktinv
2910315871 Polyommatus_coridon_(Poda_1761) 51.250368 -0.30346 fpwktinv
2910321994 Polyommatus_coridon_(Poda_1761) 51.733151 -0.806767 fpwktinv
2910324080 Polyommatus_coridon_(Poda_1761) 51.775088 -2.139091 fpwktinv
2910324816 Polyommatus_coridon_(Poda_1761) 51.250368 -0.30346 fpwktinv
2910335515 Polyommatus_coridon_(Poda_1761) 51.478269 -2.210181 fpwktinv
2910351208 Polyommatus_coridon_(Poda_1761) 51.100508 -1.737167 fpwktinv
2910352447 Polyommatus_coridon_(Poda_1761) 51.062535 -1.266469 fpwktinv
2910354812 Polyommatus_coridon_(Poda_1761) 51.51098 -1.100783 fpwktinv
2910355908 Polyommatus_coridon_(Poda_1761) 51.241994 -0.346748 fpwktinv
2910359348 Polyommatus_coridon_(Poda_1761) 51.327938 -0.085292 fpwktinv
2910363016 Polyommatus_coridon_(Poda_1761) 51.260322 -2.73944 fpwktinv
2910376735 Polyommatus_coridon_(Poda_1761) 52.037838 -0.055106 fpwktinv
2910387934 Polyommatus_coridon_(Poda_1761) 51.044813 -1.309543 fpwktinv
2910392217 Polyommatus_coridon_(Poda_1761) 50.998721 -1.13922 fpwktinv
2910393803 Polyommatus_coridon_(Poda_1761) 51.338745 -0.1997 fpwktinv
2910394628 Polyommatus_coridon_(Poda_1761) 51.369504 0.562983 fpwktinv
2910398879 Polyommatus_coridon_(Poda_1761) 52.037597 -0.040536 fpwktinv
2910407163 Polyommatus_coridon_(Poda_1761) 51.241994 -0.346748 fpwktinv
2910415666 Polyommatus_coridon_(Poda_1761) 51.062624 -1.280738 fpwktinv
2910427999 Polyommatus_coridon_(Poda_1761) 50.603396 -1.188843 fpwktinv
2910445001 Polyommatus_coridon_(Poda_1761) 51.277123 -0.288137 fpwktinv
2910447977 Polyommatus_coridon_(Poda_1761) 51.241994 -0.346748 fpwktinv
2910451373 Polyommatus_coridon_(Poda_1761) 50.974896 -1.937279 fpwktinv
